 * Serving Flask app 'app'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://127.0.0.1:5001
Press CTRL+C to quit
127.0.0.1 - - [27/Mar/2026 11:27:08] "GET /api/health HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 11:27:15] "OPTIONS /api/categories/lookup?status=Active HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 11:27:15] "OPTIONS /api/inventory/items?page=1&pageSize=12 HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 11:27:15] "GET /api/categories/lookup?status=Active HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 11:27:15] "GET /api/inventory/items?page=1&pageSize=12 HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 11:28:01] "OPTIONS /api/sales/register/open HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 11:28:01] "POST /api/sales/register/open HTTP/1.1" 409 -
127.0.0.1 - - [27/Mar/2026 11:42:24] "OPTIONS /api/sales/register/open HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 11:42:24] "POST /api/sales/register/open HTTP/1.1" 401 -
127.0.0.1 - - [27/Mar/2026 11:42:24] "OPTIONS /api/auth/refresh HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 11:42:24] "POST /api/auth/refresh HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 11:42:24] "POST /api/sales/register/open HTTP/1.1" 409 -
127.0.0.1 - - [27/Mar/2026 11:46:32] "OPTIONS /api/vendors?status=Active&page=1&pageSize=12 HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 11:46:32] "OPTIONS /api/vendors?status=Archived&page=1&pageSize=1 HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 11:46:32] "GET /api/vendors?status=Active&page=1&pageSize=12 HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 11:46:32] "GET /api/vendors?status=Archived&page=1&pageSize=1 HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 11:46:33] "OPTIONS /api/sales/register/open HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 11:46:33] "POST /api/sales/register/open HTTP/1.1" 409 -
127.0.0.1 - - [27/Mar/2026 11:46:51] "OPTIONS /api/sales/register/open HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 11:46:51] "POST /api/sales/register/open HTTP/1.1" 409 -
127.0.0.1 - - [27/Mar/2026 22:45:33] "OPTIONS /api/inventory/items?q=df&pageSize=5 HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 22:45:33] "GET /api/inventory/items?q=df&pageSize=5 HTTP/1.1" 401 -
127.0.0.1 - - [27/Mar/2026 22:45:33] "OPTIONS /api/auth/refresh HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 22:45:33] "POST /api/auth/refresh HTTP/1.1" 200 -
127.0.0.1 - - [27/Mar/2026 22:45:33] "GET /api/inventory/items?q=df&pageSize=5 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2026 00:21:19] "OPTIONS /api/inventory/items?q=dfW&pageSize=5 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2026 00:21:19] "GET /api/inventory/items?q=dfW&pageSize=5 HTTP/1.1" 401 -
127.0.0.1 - - [28/Mar/2026 00:21:19] "OPTIONS /api/auth/refresh HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2026 00:21:19] "POST /api/auth/refresh HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2026 00:21:20] "GET /api/inventory/items?q=dfW&pageSize=5 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2026 00:22:03] "OPTIONS /api/sales/register/open HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2026 00:22:03] "POST /api/sales/register/open HTTP/1.1" 409 -
127.0.0.1 - - [28/Mar/2026 00:22:52] "OPTIONS /api/sales/register/open HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2026 00:22:52] "POST /api/sales/register/open HTTP/1.1" 409 -
127.0.0.1 - - [28/Mar/2026 00:23:19] "OPTIONS /api/sales/register/open HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2026 00:23:19] "POST /api/sales/register/open HTTP/1.1" 409 -
127.0.0.1 - - [28/Mar/2026 00:23:39] "OPTIONS /api/sales/register/open HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2026 00:23:39] "POST /api/sales/register/open HTTP/1.1" 409 -
127.0.0.1 - - [28/Mar/2026 01:14:16] "OPTIONS /api/inventory/items?q=G&pageSize=5 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2026 01:14:16] "GET /api/inventory/items?q=G&pageSize=5 HTTP/1.1" 401 -
127.0.0.1 - - [28/Mar/2026 01:14:16] "OPTIONS /api/auth/refresh HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2026 01:14:16] "POST /api/auth/refresh HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2026 01:14:16] "GET /api/inventory/items?q=G&pageSize=5 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2026 01:14:19] "OPTIONS /api/inventory/items?q=G&pageSize=6 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2026 01:14:19] "GET /api/inventory/items?q=G&pageSize=6 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2026 01:14:20] "OPTIONS /api/inventory/items?q=G&pageSize=7 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2026 01:14:20] "GET /api/inventory/items?q=G&pageSize=7 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2026 01:14:21] "OPTIONS /api/inventory/items?q=G&pageSize=11 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2026 01:14:21] "GET /api/inventory/items?q=G&pageSize=11 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2026 01:14:22] "OPTIONS /api/inventory/items?q=G&pageSize=18 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2026 01:14:22] "GET /api/inventory/items?q=G&pageSize=18 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2026 01:14:24] "OPTIONS /api/inventory/items?q=G&pageSize=6 HTTP/1.1" 200 -
